transaction_id,customer_id,amount,status,event_date,last_login
40,1474,19.99 USD,Success,2023-03-19,2023-01-19
41,1058,€18.50,Refunded,2023-01-22,2023-11-26
42,1169,49.99 USD,Refunded,2023-04-18,2023-02-19
43,1475,19.99 USD,Success,2023-09-30,2023-08-20
44,1187,19.99 USD,Failed,2023-09-09,2023-10-22
45,1463,19.99 USD,Success,2023-01-15,2023-01-12
46,1270,€18.50,Success,2023-10-31,2023-12-01
47,1189,$19.99,Refunded,2023-06-09,2023-01-15
48,1445,€18.50,Success,2023-07-24,2023-01-28
49,1174,$19.99,Failed,2023-04-23,2023-10-19
50,1445,$19.99,Success,2023-06-17,
51,1050,$19.99,Success,2023-12-19,2023-09-07
52,1363,19.99 USD,Success,2023-09-10,2023-04-08
53,1054,$49.99,Success,2023-07-05,2023-10-30
54,1243,19.99 USD,Success,2023-12-13,
55,1319,19.99 USD,Success,2023-08-15,2023-02-08
56,1130,49.99 USD,Success,2023-01-16,2023-02-07
57,1484,49.99 USD,Success,2023-06-05,2023-10-27
58,1306,,Success,2023-12-20,2023-06-28
59,1134,19.99 USD,Success,2023-04-21,2023-04-07
60,1020,$19.99,Refunded,2023-01-01,2023-10-09
61,1328,,Success,2023-02-10,
62,1166,$49.99,Success,2023-02-17,2023-06-13
63,1273,€18.50,Success,2023-04-18,2023-04-07
64,1387,$19.99,Success,2023-06-10,2023-09-14
65,1088,$49.99,Refunded,2023-06-10,2023-11-05
66,1315,€18.50,Success,2023-12-25,2023-09-19
67,1013,€18.50,Success,2023-05-08,2023-10-20
68,1241,$19.99,Success,2023-07-29,2023-09-15
69,1264,$19.99,Success,2023-05-31,2023-09-06
70,1345,€18.50,Refunded,2023-09-12,2023-09-02
71,1052,€18.50,Success,2023-08-06,
72,1385,$19.99,Success,2023-01-30,2023-05-03
73,1339,€18.50,Refunded,2023-02-14,2023-11-21
74,1091,19.99 USD,Success,2023-03-21,2023-06-18
75,1366,,Success,2023-02-08,2023-06-24
76,1443,€18.50,Success,2023-08-28,2023-09-26
77,1454,€18.50,Failed,2023-02-14,2023-07-23
78,1427,19.99 USD,Failed,2023-03-19,2023-11-21
79,1263,€18.50,Failed,2023-12-03,2023-03-07
80,1430,$49.99,Refunded,2023-12-15,2023-11-11
81,1034,€18.50,Success,2023-10-15,2023-11-20
82,1205,$19.99,Success,2023-10-07,2023-02-28
83,1080,49.99 USD,Success,2023-04-26,2023-08-07
84,1419,€18.50,Failed,2023-09-26,2023-09-23
85,1049,€18.50,Success,2023-12-01,2023-05-21
86,1359,$49.99,Failed,2023-11-08,2023-08-24
87,1387,$19.99,Failed,2023-02-22,2023-08-06
88,1001,19.99 USD,Success,2023-03-09,2023-01-15
89,1389,19.99 USD,Refunded,2023-07-01,2023-10-29
90,1053,$49.99,Success,2023-02-03,2023-05-18
91,1105,$19.99,Refunded,2023-10-11,2023-08-20
92,1259,€18.50,Success,2023-11-02,2023-03-30
93,1309,€18.50,Refunded,2023-09-06,2023-03-18
94,1476,$19.99,Success,2023-04-21,2023-05-16
95,1190,19.99 USD,Success,2023-04-04,2023-04-20
96,1401,$49.99,Success,2023-06-28,2023-12-19
97,1217,$49.99,Success,2023-02-16,2023-10-28
98,1043,€18.50,Success,2023-10-09,2023-04-01
99,1161,$49.99,Refunded,2023-12-06,2023-07-09
100,1201,$49.99,Success,2023-12-28,2023-03-14
101,1445,$19.99,Failed,2023-04-02,2023-06-22
102,1483,€18.50,Failed,2023-07-31,2023-02-04
103,1269,€18.50,Success,2023-03-16,2023-07-29
104,1350,$19.99,Success,2023-07-21,2023-10-25
105,1303,€18.50,Success,2023-10-24,2023-05-13
106,1270,$19.99,Success,2023-11-04,2023-10-10
107,1455,49.99 USD,Success,2023-07-30,2023-07-17
108,1461,$19.99,Success,2023-12-04,
109,1214,$49.99,Success,2023-05-14,2023-05-16
110,1251,€18.50,Refunded,2023-11-26,2023-09-05
111,1189,€18.50,Refunded,2023-03-07,2023-12-25
112,1295,,Success,2023-10-07,2023-12-07
113,1212,€18.50,Refunded,2023-01-28,2023-05-26
114,1207,$49.99,Failed,2023-04-27,2023-11-30
115,1236,19.99 USD,Refunded,2023-11-13,2023-05-23
116,1337,$19.99,Refunded,2023-11-21,2023-08-22
117,1366,$49.99,Refunded,2023-04-24,2023-02-13
118,1052,49.99 USD,Failed,2023-03-16,2023-02-01
119,1279,€18.50,Refunded,2023-07-21,2023-08-19
120,1409,$19.99,Failed,2023-02-28,2023-01-28
121,1216,,Success,2023-01-15,2023-06-09
122,1251,19.99 USD,Success,2023-08-19,2023-11-29
123,1187,,Success,2023-04-15,2023-07-26
124,1379,€18.50,Success,2023-06-14,
125,1492,€18.50,Success,2023-07-18,2023-04-13
126,1040,$19.99,Success,2023-12-20,
127,1156,€18.50,Success,2023-02-04,
128,1014,$19.99,Success,2023-06-11,2023-05-19
129,1300,$49.99,Success,2023-09-02,2023-06-09
130,1064,19.99 USD,Success,2023-10-14,2023-08-20
131,1344,$49.99,Success,2023-01-19,2023-05-28
132,1326,$49.99,Refunded,2023-10-07,2023-12-19
133,1008,€18.50,Refunded,2023-12-06,
134,1343,19.99 USD,Success,2023-12-14,2023-02-04
135,1128,$19.99,Failed,2023-07-01,2023-11-21
136,1491,,Success,2023-05-27,2023-12-21
137,1135,49.99 USD,Success,2023-06-25,2023-08-27
138,1471,€18.50,Success,2023-06-12,2023-11-30
139,1062,49.99 USD,Success,2023-06-24,2023-05-29
140,1138,49.99 USD,Failed,2023-02-16,2023-04-21
141,1498,$19.99,Refunded,2023-09-13,2023-01-17
142,1080,€18.50,Success,2023-06-23,2023-08-14
143,1391,$49.99,Refunded,2023-04-13,
144,1162,$49.99,Success,2023-05-01,2023-05-24
145,1418,$49.99,Success,2023-12-16,2023-09-17
146,1288,,Failed,2023-05-25,2023-08-05
147,1378,$19.99,Refunded,2023-02-11,2023-06-11
148,1260,€18.50,Failed,2023-01-29,2023-04-02
149,1489,19.99 USD,Refunded,2023-09-30,2023-06-23
150,1230,€18.50,Success,2023-01-14,
151,1040,€18.50,Success,2023-11-02,2023-07-24
152,1027,49.99 USD,Failed,2023-11-09,2023-06-02
153,1134,€18.50,Failed,2023-07-08,2023-04-13
154,1200,€18.50,Success,2023-12-26,2023-07-21
155,1327,$49.99,Failed,2023-10-22,2023-10-07
156,1267,€18.50,Failed,2023-07-02,2023-03-06
157,1417,49.99 USD,Refunded,2023-12-18,2023-04-27
158,1032,49.99 USD,Refunded,2023-02-05,2023-06-02
159,1047,$19.99,Success,2023-02-06,2023-06-05
160,1406,€18.50,Success,2023-01-14,2023-06-13
161,1061,$49.99,Failed,2023-05-03,2023-03-23
162,1215,€18.50,Success,2023-03-24,2023-01-06
163,1292,€18.50,Success,2023-06-08,2023-11-18
164,1098,€18.50,Success,2023-11-25,2023-03-08
165,1171,$49.99,Refunded,2023-04-12,2023-08-26
166,1359,$19.99,Failed,2023-12-03,2023-03-13
167,1213,$19.99,Success,2023-03-24,
168,1474,49.99 USD,Success,2023-02-13,2023-10-31
169,1034,49.99 USD,Failed,2023-03-09,2023-11-22
170,1448,,Success,2023-02-17,2023-03-19
171,1226,$49.99,Refunded,2023-02-26,2023-03-08
172,1100,€18.50,Success,2023-03-16,2023-06-25
173,1430,$49.99,Success,2023-01-22,2023-11-17
174,1461,19.99 USD,Success,2023-05-12,2023-06-21
175,1130,49.99 USD,Success,2023-10-29,2023-09-12
176,1256,,Success,2023-09-24,2023-03-04
177,1004,$49.99,Failed,2023-10-14,
178,1217,49.99 USD,Success,2023-04-30,2023-09-03
179,1254,19.99 USD,Refunded,2023-09-03,2023-07-11
180,1397,49.99 USD,Failed,2023-02-25,2023-11-25
181,1358,$19.99,Success,2023-02-07,2023-03-12
182,1282,€18.50,Success,2023-09-02,2023-08-17
183,1392,49.99 USD,Success,2023-01-21,2023-03-04
184,1206,19.99 USD,Refunded,2023-04-20,2023-10-24
185,1014,€18.50,Refunded,2023-04-04,2023-09-02
186,1345,$19.99,Success,2023-05-16,2023-01-07
187,1041,€18.50,Success,2023-08-19,2023-09-17
188,1379,49.99 USD,Success,2023-01-08,2023-03-30
189,1460,$19.99,Refunded,2023-11-24,2023-06-26
190,1178,€18.50,Success,2023-10-17,2023-07-23
191,1062,49.99 USD,Success,2023-09-08,2023-05-14
192,1351,€18.50,Success,2023-12-27,2023-03-23
193,1230,$49.99,Success,2023-03-28,2023-01-21
194,1240,€18.50,Success,2023-07-23,2023-05-08
195,1051,$19.99,Refunded,2023-08-07,2023-07-14
196,1095,€18.50,Failed,2023-08-29,2023-07-13
197,1387,19.99 USD,Success,2023-11-16,2023-07-03
198,1221,€18.50,Refunded,2023-09-15,2023-09-04
199,1484,19.99 USD,Refunded,2023-04-19,
200,1406,49.99 USD,Success,2023-09-13,2023-12-26
201,1230,,Success,2023-10-09,2023-11-20
202,1236,€18.50,Success,2023-08-08,2023-06-09
203,1142,€18.50,Success,2023-03-24,2023-07-13
204,1170,$19.99,Success,2023-04-17,
205,1028,€18.50,Refunded,2023-03-10,2023-03-07
206,1035,19.99 USD,Success,2023-04-07,2023-09-11
207,1012,€18.50,Success,2023-07-31,2023-10-10
208,1159,€18.50,Success,2023-10-13,2023-03-01
209,1326,49.99 USD,Success,2023-08-25,2023-04-28
210,1186,$49.99,Refunded,2023-01-08,2023-02-13
211,1242,19.99 USD,Success,2023-10-21,2023-07-29
212,1085,€18.50,Failed,2023-07-08,2023-02-05
213,1283,49.99 USD,Success,2023-03-22,2023-01-19
214,1065,$19.99,Failed,2023-04-18,2023-04-01
215,1169,19.99 USD,Success,2023-11-17,2023-10-28
216,1044,$49.99,Success,2023-03-08,2023-07-31
217,1061,49.99 USD,Refunded,2023-06-23,
218,1440,$49.99,Success,2023-12-12,
219,1133,$19.99,Success,2023-12-17,2023-08-11
220,1283,$19.99,Success,2023-11-24,2023-04-08
221,1027,19.99 USD,Refunded,2023-02-12,2023-01-19
222,1107,€18.50,Refunded,2023-07-06,
223,1043,$19.99,Success,2023-10-29,2023-01-26
224,1339,49.99 USD,Success,2023-07-19,2023-01-28
225,1285,€18.50,Success,2023-02-08,2023-03-05
226,1445,€18.50,Failed,2023-08-08,2023-11-20
227,1330,$49.99,Success,2023-11-03,2023-08-11
228,1127,€18.50,Success,2023-01-04,2023-03-21
229,1347,$49.99,Refunded,2023-05-01,
230,1472,€18.50,Success,2023-12-02,2023-04-12
231,1230,€18.50,Success,2023-03-18,2023-06-25
232,1189,$19.99,Failed,2023-06-28,2023-01-10
233,1224,€18.50,Success,2023-05-13,2023-08-25
234,1384,$19.99,Success,2023-11-07,2023-04-10
235,1376,$19.99,Success,2023-08-17,2023-08-16
236,1282,$49.99,Failed,2023-10-03,
237,1445,49.99 USD,Success,2023-06-01,
238,1120,€18.50,Success,2023-06-13,2023-11-28
239,1115,€18.50,Success,2023-10-17,2023-11-14
240,1460,€18.50,Failed,2023-04-19,2023-05-21
241,1232,$49.99,Refunded,2023-05-06,2023-01-25
242,1258,,Refunded,2023-08-28,2023-08-16
243,1358,$49.99,Success,2023-11-06,2023-03-30
244,1197,19.99 USD,Failed,2023-12-11,2023-04-02
245,1455,19.99 USD,Success,2023-05-26,2023-02-11
246,1410,€18.50,Success,2023-09-09,2023-10-22
247,1136,$49.99,Refunded,2023-07-02,2023-03-22
248,1317,€18.50,Refunded,2023-11-05,2023-04-17
249,1164,€18.50,Success,2023-11-02,2023-04-21
250,1224,19.99 USD,Refunded,2023-03-13,2023-10-04
251,1306,€18.50,Success,2023-08-07,2023-08-02
252,1233,19.99 USD,Success,2023-07-26,2023-08-19
253,1171,$19.99,Success,2023-06-22,
254,1151,$49.99,Success,2023-05-21,2023-05-01
255,1462,€18.50,Success,2023-09-29,2023-05-14
256,1314,19.99 USD,Refunded,2023-08-02,2023-11-02
257,1373,€18.50,Success,2023-09-26,2023-07-27
258,1159,€18.50,Success,2023-01-20,2023-09-14
259,1095,49.99 USD,Failed,2023-03-07,2023-07-04
260,1471,$19.99,Success,2023-10-30,2023-10-13
261,1232,$19.99,Refunded,2023-05-27,2023-12-29
262,1179,€18.50,Success,2023-06-14,2023-06-29
263,1112,19.99 USD,Success,2023-11-06,2023-02-17
264,1317,€18.50,Success,2023-01-06,
265,1496,19.99 USD,Failed,2023-01-14,2023-01-19
266,1441,$19.99,Success,2023-05-12,2023-02-15
267,1051,19.99 USD,Success,2023-12-08,2023-02-25
268,1267,$19.99,Refunded,2023-08-31,
269,1294,19.99 USD,Success,2023-08-19,2023-05-25
270,1385,€18.50,Success,2023-08-16,2023-04-02
271,1386,$49.99,Failed,2023-06-11,2023-03-23
272,1112,€18.50,Success,2023-10-10,
273,1100,€18.50,Failed,2023-09-20,2023-03-20
274,1112,$49.99,Success,2023-05-11,
275,1439,$49.99,Success,2023-08-13,2023-12-27
276,1080,€18.50,Refunded,2023-09-15,2023-10-10
277,1186,€18.50,Failed,2023-08-22,2023-11-07
278,1112,€18.50,Success,2023-12-02,2023-06-09
279,1001,€18.50,Success,2023-11-12,2023-11-12
280,1129,$19.99,Success,2023-01-24,2023-12-31
281,1219,$19.99,Success,2023-09-28,
282,1053,€18.50,Failed,2023-04-05,2023-06-05
283,1342,49.99 USD,Success,2023-05-22,2023-07-21
284,1484,49.99 USD,Failed,2023-07-01,2023-12-07
285,1223,€18.50,Success,2023-07-25,2023-12-08
286,1224,$19.99,Refunded,2023-03-22,2023-04-27
287,1384,$19.99,Refunded,2023-10-01,2023-06-03
288,1402,49.99 USD,Refunded,2023-10-03,
289,1125,19.99 USD,Success,2023-07-27,
290,1129,19.99 USD,Success,2023-10-23,2023-04-29
291,1052,$19.99,Success,2023-02-08,2023-07-18
292,1171,19.99 USD,Failed,2023-10-15,2023-09-20
293,1217,$49.99,Success,2023-05-04,2023-07-03
294,1159,€18.50,Failed,2023-12-30,2023-05-28
295,1197,€18.50,Failed,2023-10-10,2023-06-15
296,1415,$19.99,Failed,2023-06-29,2023-03-16
297,1246,€18.50,Success,2023-04-07,2023-08-24
298,1323,49.99 USD,Success,2023-07-10,2023-11-10
299,1438,$19.99,Success,2023-03-15,2023-09-29
300,1202,19.99 USD,Success,2023-09-30,2023-06-28
301,1183,49.99 USD,Success,2023-02-18,2023-10-10
302,1122,€18.50,Failed,2023-12-03,2023-02-20
303,1400,19.99 USD,Success,2023-07-29,
304,1254,$49.99,Success,2023-04-26,2023-05-24
305,1293,19.99 USD,Refunded,2023-01-23,2023-12-09
306,1279,$49.99,Success,2023-04-08,2023-07-07
307,1324,49.99 USD,Refunded,2023-11-24,2023-05-03
308,1371,$49.99,Success,2023-11-09,2023-11-28
309,1097,49.99 USD,Success,2023-07-09,2023-09-08
310,1197,,Success,2023-07-01,2023-10-23
311,1469,49.99 USD,Success,2023-05-28,2023-11-19
312,1394,49.99 USD,Success,2023-12-08,2023-05-10
313,1239,49.99 USD,Success,2023-01-23,2023-09-09
314,1143,19.99 USD,Success,2023-04-15,2023-12-24
315,1096,49.99 USD,Failed,2023-06-12,2023-06-29
316,1200,19.99 USD,Failed,2023-03-08,2023-12-15
317,1123,,Success,2023-10-17,2023-04-20
318,1186,$49.99,Refunded,2023-10-16,2023-12-04
319,1325,49.99 USD,Failed,2023-02-15,2023-03-19
320,1463,€18.50,Success,2023-03-22,2023-01-02
321,1348,49.99 USD,Success,2023-05-27,2023-11-17
322,1258,49.99 USD,Refunded,2023-08-10,2023-10-03
323,1147,$49.99,Success,2023-12-09,2023-10-17
324,1251,€18.50,Success,2023-01-15,2023-10-24
325,1442,,Success,2023-05-01,2023-06-18
326,1419,€18.50,Refunded,2023-03-19,
327,1402,€18.50,Failed,2023-11-18,2023-01-23
328,1345,$19.99,Failed,2023-10-22,
329,1450,$19.99,Failed,2023-08-29,2023-06-21
330,1146,,Success,2023-01-18,2023-11-19
331,1147,$49.99,Refunded,2023-09-13,2023-11-14
332,1351,19.99 USD,Refunded,2023-10-04,2023-10-13
333,1198,€18.50,Failed,2023-01-27,2023-12-09
334,1307,€18.50,Failed,2023-01-02,2023-07-12
335,1488,€18.50,Success,2023-12-19,2023-06-18
336,1416,49.99 USD,Success,2023-10-22,2023-04-28
337,1423,$19.99,Success,2023-11-08,2023-01-06
338,1127,€18.50,Success,2023-12-29,2023-11-27
339,1038,€18.50,Refunded,2023-08-27,2023-05-12
340,1337,€18.50,Refunded,2023-01-13,
341,1359,€18.50,Success,2023-07-03,2023-09-08
342,1128,19.99 USD,Success,2023-07-13,2023-01-10
343,1266,49.99 USD,Success,2023-02-25,2023-02-20
344,1475,$19.99,Success,2023-08-18,2023-12-15
345,1440,€18.50,Success,2023-01-28,2023-10-21
346,1472,€18.50,Success,2023-11-16,2023-05-09
347,1433,$49.99,Success,2023-03-12,
348,1150,$19.99,Success,2023-07-29,2023-04-12
349,1414,19.99 USD,Success,2023-07-03,2023-12-03
350,1477,€18.50,Failed,2023-12-22,2023-03-24
351,1297,49.99 USD,Failed,2023-02-10,
352,1098,49.99 USD,Failed,2023-09-17,
353,1262,19.99 USD,Refunded,2023-12-10,2023-08-25
354,1251,19.99 USD,Success,2023-03-25,2023-10-14
355,1143,49.99 USD,Success,2023-02-15,2023-10-04
356,1345,€18.50,Refunded,2023-06-08,2023-10-18
357,1111,€18.50,Success,2023-12-10,2023-06-18
358,1499,€18.50,Failed,2023-01-07,2023-05-24
359,1059,$49.99,Failed,2023-11-29,2023-07-03
360,1368,€18.50,Success,2023-05-16,
361,1001,$49.99,Success,2023-07-02,2023-08-31
362,1384,19.99 USD,Success,2023-07-16,2023-11-11
363,1303,$19.99,Success,2023-06-21,2023-09-25
364,1253,€18.50,Refunded,2023-12-15,2023-09-10
365,1139,€18.50,Success,2023-10-03,2023-10-16
366,1452,$49.99,Success,2023-03-19,2023-07-31
367,1036,19.99 USD,Success,2023-06-27,2023-06-26
368,1159,19.99 USD,Success,2023-01-27,2023-01-21
369,1008,$49.99,Failed,2023-04-30,2023-11-12
370,1232,,Failed,2023-10-08,2023-02-21
371,1098,49.99 USD,Success,2023-11-04,2023-08-21
372,1146,€18.50,Success,2023-07-15,
373,1303,49.99 USD,Failed,2023-10-04,2023-12-28
374,1207,$19.99,Failed,2023-01-18,2023-04-10
375,1130,€18.50,Refunded,2023-10-22,2023-08-02
376,1403,$19.99,Success,2023-09-28,2023-11-23
377,1151,€18.50,Success,2023-02-22,2023-05-15
378,1053,,Success,2023-10-21,2023-11-14
379,1119,,Success,2023-02-21,2023-08-06
380,1160,49.99 USD,Failed,2023-08-04,2023-03-29
381,1407,$49.99,Refunded,2023-03-13,2023-10-07
382,1115,49.99 USD,Success,2023-01-28,2023-02-09
383,1074,€18.50,Failed,2023-09-09,2023-08-28
384,1112,$19.99,Success,2023-02-04,2023-11-28
385,1455,$49.99,Success,2023-07-20,2023-05-16
386,1419,19.99 USD,Success,2023-09-06,2023-07-01
387,1421,€18.50,Failed,2023-04-09,2023-09-22
388,1103,$49.99,Success,2023-11-04,2023-09-16
389,1339,€18.50,Refunded,2023-05-20,2023-07-01
390,1253,,Refunded,2023-03-24,2023-01-21
391,1226,19.99 USD,Failed,2023-02-17,2023-12-17
392,1111,€18.50,Success,2023-10-05,2023-07-15
393,1472,$49.99,Failed,2023-09-05,2023-07-31
394,1098,19.99 USD,Refunded,2023-06-26,2023-01-16
395,1152,€18.50,Success,2023-02-21,2023-07-21
396,1348,19.99 USD,Success,2023-03-20,2023-12-29
397,1401,€18.50,Success,2023-11-18,2023-08-06
398,1383,49.99 USD,Success,2023-03-05,2023-04-03
399,1365,$49.99,Success,2023-01-08,2023-05-13
400,1337,€18.50,Refunded,2023-08-02,2023-05-19
401,1193,$19.99,Success,2023-01-25,2023-06-06
402,1309,$49.99,Failed,2023-09-13,2023-12-01
403,1162,€18.50,Failed,2023-08-31,2023-03-11
404,1207,€18.50,Refunded,2023-07-17,2023-10-31
405,1444,$49.99,Success,2023-04-04,
406,1168,$49.99,Failed,2023-07-26,2023-08-23
407,1483,19.99 USD,Success,2023-01-15,
408,1160,€18.50,Success,2023-06-27,2023-10-17
409,1067,$19.99,Failed,2023-03-16,2023-03-01
410,1288,49.99 USD,Success,2023-04-14,2023-09-09
411,1397,,Failed,2023-10-21,2023-01-02
412,1276,19.99 USD,Refunded,2023-06-17,2023-08-24
413,1303,€18.50,Success,2023-04-25,2023-12-02
414,1403,$19.99,Failed,2023-02-08,2023-01-19
415,1383,$19.99,Success,2023-12-30,2023-02-18
416,1391,$49.99,Success,2023-09-30,2023-03-19
417,1134,$19.99,Failed,2023-05-15,2023-01-28
418,1194,€18.50,Success,2023-08-20,
419,1400,€18.50,Failed,2023-02-08,2023-04-06
420,1127,,Success,2023-10-18,2023-06-14
421,1032,$49.99,Success,2023-11-03,2023-12-31
422,1175,49.99 USD,Refunded,2023-02-16,2023-06-25
423,1459,,Success,2023-02-05,2023-03-14
424,1442,€18.50,Success,2023-11-16,2023-12-22
425,1370,$19.99,Success,2023-04-05,2023-01-29
426,1469,€18.50,Success,2023-12-27,2023-06-06
427,1374,,Success,2023-01-13,2023-11-10
428,1021,49.99 USD,Success,2023-05-26,2023-10-31
429,1237,$19.99,Success,2023-03-06,2023-10-06
430,1157,19.99 USD,Success,2023-08-16,
431,1037,$49.99,Refunded,2023-08-30,2023-01-07
432,1229,€18.50,Success,2023-01-08,2023-11-01
433,1364,$49.99,Success,2023-10-31,2023-07-01
434,1050,€18.50,Failed,2023-12-07,2023-04-19
435,1437,$49.99,Failed,2023-02-12,2023-11-20
436,1263,€18.50,Success,2023-09-01,2023-07-25
437,1282,19.99 USD,Success,2023-06-30,
438,1026,€18.50,Success,2023-03-26,2023-07-06
439,1225,$19.99,Success,2023-06-04,2023-11-25
440,1276,,Failed,2023-10-02,2023-12-23
441,1285,$19.99,Success,2023-01-23,2023-01-08
442,1096,19.99 USD,Success,2023-04-25,2023-02-22
443,1283,19.99 USD,Failed,2023-11-02,2023-07-18
444,1366,$49.99,Refunded,2023-10-26,2023-05-17
445,1447,€18.50,Success,2023-04-09,2023-09-16
446,1480,€18.50,Success,2023-04-14,2023-11-30
447,1452,19.99 USD,Success,2023-02-20,2023-06-21
448,1316,€18.50,Success,2023-12-28,
449,1303,€18.50,Success,2023-04-22,2023-02-15
450,1146,$19.99,Refunded,2023-09-01,2023-12-12
451,1003,$19.99,Success,2023-06-18,2023-07-05
452,1034,$49.99,Success,2023-03-13,2023-06-05
453,1191,19.99 USD,Success,2023-05-19,2023-01-09
454,1048,$19.99,Success,2023-12-02,2023-04-25
455,1016,$19.99,Failed,2023-08-19,2023-06-03
456,1171,49.99 USD,Success,2023-08-27,2023-05-10
457,1219,19.99 USD,Success,2023-09-10,2023-11-27
458,1157,$49.99,Failed,2023-02-18,2023-03-22
459,1476,$19.99,Refunded,2023-10-30,2023-10-17
460,1045,$49.99,Success,2023-03-13,2023-05-27
461,1372,€18.50,Success,2023-09-20,2023-10-22
462,1005,$49.99,Success,2023-11-18,2023-09-26
463,1098,€18.50,Success,2023-08-10,2023-05-13
464,1379,€18.50,Refunded,2023-03-18,
465,1232,$49.99,Success,2023-03-03,2023-01-23
466,1036,€18.50,Success,2023-06-06,2023-03-29
467,1279,€18.50,Success,2023-10-21,2023-04-22
468,1348,19.99 USD,Failed,2023-05-05,2023-04-21
469,1496,€18.50,Refunded,2023-08-17,2023-03-13
470,1301,€18.50,Failed,2023-12-06,
471,1180,$49.99,Success,2023-06-10,
472,1094,€18.50,Failed,2023-01-29,
473,1098,19.99 USD,Refunded,2023-04-24,2023-06-05
474,1187,$49.99,Success,2023-03-20,2023-04-23
475,1480,$49.99,Success,2023-01-23,2023-11-14
476,1115,49.99 USD,Success,2023-04-16,2023-02-16
477,1190,€18.50,Success,2023-05-11,2023-08-26
478,1252,19.99 USD,Failed,2023-12-23,2023-11-30
479,1468,€18.50,Success,2023-06-22,2023-04-16
480,1415,19.99 USD,Refunded,2023-09-21,2023-07-06
481,1470,,Success,2023-12-08,2023-06-08
482,1160,$49.99,Success,2023-10-12,2023-07-17
483,1255,$49.99,Success,2023-01-02,2023-06-26
484,1322,$19.99,Success,2023-08-21,2023-09-18
485,1127,€18.50,Success,2023-09-08,2023-10-14
486,1017,49.99 USD,Success,2023-11-17,2023-10-20
487,1280,€18.50,Success,2023-04-18,2023-12-01
488,1489,49.99 USD,Refunded,2023-10-03,2023-05-23
489,1222,$19.99,Failed,2023-06-29,2023-11-04
490,1053,€18.50,Success,2023-08-01,2023-07-16
491,1057,€18.50,Success,2023-10-20,2023-08-13
492,1322,19.99 USD,Success,2023-03-13,2023-02-12
493,1359,€18.50,Failed,2023-10-10,
494,1173,$49.99,Success,2023-06-24,2023-10-23
495,1279,$19.99,Success,2023-05-03,2023-03-04
496,1113,€18.50,Success,2023-08-15,2023-05-10
497,1287,€18.50,Success,2023-10-28,2023-09-12
498,1430,$49.99,Success,2023-03-24,2023-12-09
499,1341,€18.50,Refunded,2023-09-10,2023-08-02
500,1150,19.99 USD,Success,2023-05-26,2023-03-14
501,1449,$49.99,Failed,2023-04-30,2023-04-14
502,1126,19.99 USD,Success,2023-03-06,2023-06-07
503,1154,€18.50,Failed,2023-10-08,2023-09-29
504,1489,€18.50,Success,2023-10-10,2023-11-11
505,1385,19.99 USD,Success,2023-04-16,2023-08-26
506,1473,$19.99,Failed,2023-10-27,
507,1272,$19.99,Refunded,2023-04-17,2023-06-07
508,1103,$49.99,Success,2023-02-05,2023-04-19
509,1416,€18.50,Success,2023-05-27,2023-01-09
510,1392,,Failed,2023-09-19,
511,1298,,Success,2023-06-08,2023-02-28
512,1245,49.99 USD,Refunded,2023-09-22,2023-12-24
